word,x,y,width,height,is_label
New,153,132,80,31,0
York,246,132,84,31,0
State,345,131,92,32,0
Department,454,132,214,39,0
of,681,132,33,31,0
Health,730,132,114,31,0
ASSISTED,1670,125,247,38,0
LIVING,1937,125,160,38,0
RESIDENCE,2118,125,285,38,0
Division,154,189,139,31,0
of,308,189,33,31,0
Assisted,354,189,155,31,0
Living,526,189,102,39,0
MEDICAL,1837,182,222,38,0
EVALUATION,2078,182,319,38,0
ALL,954,296,78,30,0
SPACES,1046,295,169,32,0
MUST,1230,295,115,32,0
BE,1361,296,53,30,0
FILLED,1430,296,141,30,0
OUT,1586,295,85,32,0
Resident’s,153,403,206,31,0
Name:,375,403,121,31,1
Date,1962,403,86,31,1
of,2062,403,38,31,0
Exam:,2115,403,119,31,1
Facility,153,499,140,39,0
Name:,308,499,121,31,1
Date,1397,499,82,31,1
of,1494,499,33,31,0
Birth:,1543,499,91,31,1
Sex:,1894,498,78,32,1
Present,153,595,148,31,0
Home,317,595,111,31,0
Address:,444,595,175,31,1
Street,752,638,108,49,0
City,1395,638,70,49,0
State,1814,642,93,32,0
Zip,2251,643,55,39,0
Reason,155,782,144,31,0
for,314,782,54,31,0
evaluation:,381,782,216,31,1
Pre-Admission,679,782,265,31,0
0,975,786,20,26,0
12,1026,782,40,30,0
month,1082,782,111,31,0
©,1224,786,20,26,0
Acute,1272,782,103,31,0
change,1390,782,134,39,0
in,1540,782,27,30,0
condition,1582,782,163,31,0
MEDICAL,1027,974,185,32,0
REVIEW,1228,975,161,30,0
FINDINGS,1404,974,195,32,0
Vital,151,1113,77,31,0
Signs:,245,1112,110,40,1
BP:,385,1113,61,30,1
Pulse:,649,1109,109,48,1
Resp:,904,1109,102,48,1
T:,1218,1113,33,30,1
Height:,1454,1109,126,48,1
ft,1711,1113,22,31,0
in.,1864,1113,37,30,0
Weight:,1928,1113,139,39,1
Primary,154,1208,139,39,0
Diagnosis(s):,308,1208,237,39,1
Secondary,152,1382,196,40,0
Diagnosis(s):,364,1383,237,39,1
Allergies:,151,1568,167,39,1
0,350,1572,20,26,0
None,390,1568,100,31,0
or,516,1576,35,23,0
list,566,1568,47,31,0
Known,641,1568,133,31,0
Allergies:,790,1568,184,39,1
Diet:,154,1665,78,31,1
(1),264,1669,20,26,0
Regular,305,1665,141,39,0
O,484,1659,22,49,0
No,528,1664,48,31,0
Added,591,1664,117,31,0
Salt,724,1663,69,32,0
“No,834,1664,88,31,0
Concentrated,938,1663,246,32,0
Sweets,1200,1663,132,32,0
(,1362,1659,22,49,0
Other:,1412,1663,112,32,1
Immunizations:,154,1764,273,31,1
(J,455,1760,24,47,0
Influenza,503,1764,164,31,0
(Date,683,1764,96,39,0
),1084,1764,9,39,0
Pneumococcal,1250,1764,266,31,0
Vaccine,1532,1764,145,31,0
(Date,1693,1764,97,39,0
),2095,1764,9,39,0
TB,151,1909,53,30,0
SCREENING,219,1908,243,32,0
(performed,479,1909,205,39,0
within,692,1909,118,31,0
30,827,1909,45,31,0
days,885,1909,92,39,0
prior,990,1909,97,39,0
to,1098,1911,36,29,0
initial,1148,1909,109,31,0
admission,1268,1909,204,31,0
unless,1487,1909,118,31,0
medically,1619,1909,173,39,0
contraindicated),1803,1909,293,39,0
OTest,153,2029,119,31,0
is,287,2029,31,31,0
contraindicated,332,2029,306,31,0
Test:,688,2029,96,31,1
OTST1,859,2028,93,32,0
OTST2,1010,2028,146,32,0
OTB,1207,2029,85,30,0
Blood,1309,2029,101,31,0
Test,1424,2029,80,31,0
(Type),1520,2029,113,39,0
Date,1930,2029,82,31,1
Result,2180,2029,113,31,0
TST1:,151,2124,110,32,1
Date,279,2125,82,31,1
placed,377,2125,118,39,0
Date,686,2125,82,31,1
Read,786,2125,93,31,0
mm,1069,2133,64,22,0
TST2:,1322,2124,111,32,1
Date,1451,2125,82,31,1
placed,1549,2125,118,39,0
Date,1870,2125,82,31,1
Read,1969,2125,93,31,0
mm,2264,2133,64,22,0
Based,153,2269,112,31,0
on,281,2277,42,23,0
my,340,2277,53,31,0
findings,405,2269,141,39,0
and,561,2269,66,31,0
on,642,2277,42,23,0
my,701,2277,53,31,0
knowledge,768,2269,195,39,0
of,978,2269,32,31,0
this,1024,2269,62,31,0
"patient,",1102,2269,130,39,0
|,1251,2269,4,30,0
find,1271,2269,64,31,0
that,1350,2269,68,31,0
the,1431,2269,55,31,0
patient,1502,2269,122,39,0
IS,1813,2268,35,32,0
IS,2038,2268,35,32,0
NOT,2089,2268,85,32,0
exhibiting,2188,2269,171,39,0
signs,2374,2269,95,39,0
or,151,2325,35,23,0
symptoms,200,2319,187,37,0
suggestive,402,2317,195,39,0
of,612,2317,32,31,0
communicable,658,2317,265,31,0
disease,938,2317,141,31,0
that,1093,2317,68,31,0
could,1175,2317,95,31,0
be,1287,2317,42,31,0
transmitted,1343,2317,203,31,0
through,1560,2317,138,39,0
casual,1714,2317,116,31,0
contact.,1846,2319,141,29,0
CONTINENCE,152,2430,271,32,0
Bladder:,153,2516,149,31,1
